,route_id,office_from_id
924846,448,31
929188,557,6
933530,659,6
937872,48,47
942214,67,41
946556,673,1
950898,755,13
955240,953,10
959582,142,22
963924,168,48
968266,324,53
972608,481,41
976950,247,25
981292,467,2
985634,528,50
989976,992,25
994318,105,1
998660,318,42
1003002,451,23
1007344,654,43
1011686,333,13
1016028,44,10
1020370,392,12
1024712,471,51
1029054,540,33
1033396,611,21
1037738,804,29
1042080,127,33
1046422,345,13
1050764,552,3
1055106,683,21
1059448,746,36
1063790,731,12
1068132,994,24
1072474,352,33
1076816,559,1
1081158,249,1
1085500,383,11
1089842,688,43
1094184,795,12
1098526,822,13
1102868,61,22
1107210,303,2
1111552,777,19
1115894,940,24
1120236,995,10
1124578,440,28
1128920,454,15
1133262,573,41
1137604,653,2
1141946,921,6
1146288,156,41
1150630,841,29
1154972,429,35
1159314,846,32
1163656,160,12
1167998,283,46
1172340,715,19
1176682,941,21
1181024,957,22
1185366,435,1
1189708,576,33
1194050,863,12
1198392,979,21
1202734,206,41
1207076,37,21
1211418,292,31
1215760,431,44
1220102,776,28
1224444,905,33
1228786,919,12
1233128,200,10
1237470,295,21
1241812,952,13
1246154,826,33
1250496,855,42
1254838,942,13
1259180,544,21
1263522,943,19
1267864,280,18
1272206,390,30
1276548,664,13
1280890,872,25
1285232,996,24
1289574,182,22
1293916,512,42
1298258,668,53
1302600,186,21
1306942,910,33
1311284,331,33
1315626,710,37
1319968,792,41
1324310,290,31
1328652,775,15
1332994,803,51
1337336,166,31
1341678,468,41
1346020,740,19
1350362,774,10
1354704,778,3
1359046,807,19
1363388,321,22
1367730,380,29
1372072,750,38
1376414,785,12
1380756,829,40
1385098,477,12
1389440,269,3
1393782,465,33
1398124,154,10
1402466,265,28
1406808,432,33
1411150,520,12
1415492,244,17
1419834,615,21
1424176,954,33
1428518,967,22
1432860,433,10
1437202,164,29
1441544,931,39
1445886,176,12
1450228,134,28
1454570,245,11
1458912,504,13
1463254,536,41
1467596,732,33
1471938,971,29
1476280,359,49
1480622,422,41
1484964,634,2
1489306,606,3
1493648,914,42
1497990,991,29
1502332,233,22
1506674,92,10
1511016,391,10
1515358,898,21
1519700,604,35
1524042,899,1
1528384,930,4
1532726,524,12
1537068,763,13
1541410,272,43
1545752,765,1
1550094,302,48
1554436,603,8
1558778,722,1
1563120,172,36
1567462,613,18
1571804,78,36
1576146,924,10
1580488,579,41
1584830,672,28
1589172,955,29
1593514,125,18
1597856,298,43
1602198,679,28
1606540,607,19
1610882,983,13
1615224,860,53
1619566,594,43
1623908,216,41
1628250,598,29
1632592,767,42
1636934,583,22
1641276,791,14
1645618,999,13
1649960,505,39
1654302,626,28
1658644,21,39
1662986,238,42
1667328,809,5
1671670,877,11
1676012,59,13
1680354,129,2
1684696,372,43
1689038,542,28
1693380,335,31
1697722,960,12
1702064,985,24
1706406,81,30
1710748,165,10
1715090,315,10
1719432,878,23
1723774,195,53
1728116,436,28
1732458,438,29
1736800,811,44
1741142,38,53
1745484,350,53
1749826,133,12
1754168,351,19
1758510,470,25
1762852,42,32
1767194,73,22
1771536,708,12
1775878,895,33
1780220,90,42
1784562,457,13
1788904,690,19
1793246,709,34
1797588,851,53
1801930,312,25
1806272,338,53
1810614,680,1
1814956,297,1
1819298,812,19
1823640,291,34
1827982,217,33
1832324,358,19
1836666,409,12
1841008,300,18
1845350,616,35
1849692,781,21
1854034,444,22
1858376,510,43
1862718,617,50
1867060,630,12
1871402,676,48
1875744,937,1
1880086,976,33
1884428,387,5
1888770,109,12
1893112,354,23
1897454,483,33
1901796,770,1
1906138,793,52
1910480,545,21
1914822,873,19
1919164,717,28
1923506,721,42
1927848,40,53
1932190,251,37
1936532,666,2
1940874,282,11
1945216,147,34
1949558,908,21
1953900,522,12
1958242,728,17
1962584,837,53
1966926,240,1
1971268,16,50
1975610,64,42
1979952,917,10
1984294,281,13
1988636,612,3
1992978,698,1
1997320,839,7
2001662,416,25
2006004,398,41
2010346,757,29
2014688,956,53
2019030,489,38
2023372,625,25
2027714,949,4
2032056,45,53
2036398,531,39
2040740,619,21
2045082,669,23
2049424,169,10
2053766,751,3
2058108,273,53
2062450,758,13
2066792,24,10
2071134,458,22
2075476,739,30
2079818,26,3
2084160,474,39
2088502,964,22
2092844,418,46
2097186,541,38
2101528,270,28
2105870,278,11
2110212,367,11
2114554,54,41
2118896,926,22
2123238,965,1
2127580,0,26
2131922,277,10
2136264,348,23
2140606,847,12
2144948,502,41
2149290,656,45
2153632,112,3
2157974,113,23
2162316,167,42
2166658,736,3
2171000,831,22
2175342,347,29
2179684,564,12
2184026,588,23
2188368,414,41
2192710,530,22
2197052,724,25
2201394,427,13
2205736,932,41
2210078,677,21
2214420,184,1
2218762,635,8
2223104,858,41
2227446,463,26
2231788,551,10
2236130,830,4
2240472,853,25
2244814,693,45
2249156,126,15
2253498,228,21
2257840,274,13
2262182,889,34
2266524,570,23
2270866,50,28
2275208,94,13
2279550,149,12
2283892,600,12
2288234,638,35
2292576,876,24
2296918,961,45
2301260,229,7
2305602,275,43
2309944,706,1
2314286,737,13
2318628,902,15
2322970,57,7
2327312,136,32
2331654,828,12
2335996,144,10
2340338,388,29
2344680,412,41
2349022,417,53
2353364,909,22
2357706,32,41
2362048,378,1
2366390,212,41
2370732,766,1
2375074,662,13
2379416,958,21
2383758,395,25
2388100,768,17
2392442,974,41
2396784,450,39
2401126,595,14
2405468,894,22
2409810,39,25
2414152,98,22
2418494,187,40
2422836,561,25
2427178,845,36
2431520,201,23
2435862,402,21
2440204,990,21
2444546,962,10
2448888,203,45
2453230,700,41
2457572,116,13
2461914,488,41
2466256,25,41
2470598,948,13
2474940,157,1
2479282,363,10
2483624,686,3
2487966,95,21
2492308,562,34
2496650,925,12
2500992,413,32
2505334,760,29
2509676,820,1
2514018,912,15
2518360,143,1
2522702,621,38
2527044,704,6
2531386,193,4
2535728,365,33
2540070,6,2
2544412,466,12
2548754,713,3
2553096,87,15
2557438,756,22
2561780,58,36
2566122,255,1
2570464,320,50
2574806,854,28
2579148,107,12
2583490,266,10
2587832,424,12
2592174,968,39
2596516,27,23
2600858,158,23
2605200,447,10
2609542,754,29
2613884,796,50
2618226,959,53
2622568,51,1
2626910,56,41
2631252,178,10
2635594,353,12
2639936,702,41
2644278,610,1
2648620,150,53
2652962,574,28
2657304,52,1
2661646,346,50
2665988,546,6
2670330,694,13
2674672,446,50
2679014,585,1
2683356,712,40
2687698,946,36
2692040,17,41
2696382,170,6
2700724,661,3
2705066,236,36
2709408,675,34
2713750,738,52
2718092,989,48
2722434,139,25
2726776,430,41
2731118,726,13
2735460,817,22
2739802,499,21
2744144,907,10
2748486,88,2
2752828,257,19
2757170,384,45
2761512,207,12
2765854,511,19
2770196,671,1
2774538,866,29
2778880,304,15
2783222,833,41
2787564,646,19
2791906,678,15
2796248,714,22
2800590,742,1
2804932,5,50
2809274,794,12
2813616,1,10
2817958,404,10
2822300,896,18
2826642,115,13
2830984,153,33
2835326,718,1
2839668,96,26
2844010,377,15
2848352,859,12
2852694,849,28
2857036,890,41
2861378,349,10
2865720,375,21
2870062,632,13
2874404,104,13
2878746,368,53
2883088,623,45
2887430,214,22
2891772,461,26
2896114,719,33
2900456,252,40
2904798,419,1
2909140,556,20
2913482,593,31
2917824,816,24
2922166,818,41
2926508,120,13
2930850,485,2
2935192,500,30
2939534,806,22
2943876,521,29
2948218,644,26
2952560,452,7
2956902,537,13
2961244,870,50
2965586,356,1
2969928,784,22
2974270,871,33
2978612,923,33
2982954,197,10
2987296,697,33
2991638,85,13
2995980,332,21
3000322,575,3
3004664,735,33
3009006,411,10
3013348,903,12
3017690,177,13
3022032,797,10
3026374,950,12
3030716,179,29
3035058,306,37
3039400,563,50
3043742,224,41
3048084,517,34
3052426,254,13
3056768,749,19
3061110,761,21
3065452,927,44
3069794,100,41
3074136,131,28
3078478,581,11
3082820,850,28
3087162,294,25
3091504,800,38
3095846,993,41
3100188,108,21
3104530,218,29
3108872,339,41
3113214,934,33
3117556,132,51
3121898,309,1
3126240,947,3
3130582,123,22
3134924,641,1
3139266,951,36
3143608,210,22
3147950,590,40
3152292,205,12
3156634,225,8
3160976,323,22
3165318,682,52
3169660,981,38
3174002,220,53
3178344,381,5
3182686,762,22
3187028,819,33
3191370,379,21
3195712,988,1
3200054,535,24
3204396,567,10
3208738,580,25
3213080,192,41
3217422,213,21
3221764,337,10
3226106,473,31
3230448,587,1
3234790,628,33
3239132,636,19
3243474,3,40
3247816,982,42
3252158,382,14
3256500,478,13
3260842,482,27
3265184,618,13
3269526,101,13
3273868,83,19
3278210,362,22
3282552,491,41
3286894,12,19
3291236,355,14
3295578,655,43
3299920,141,49
3304262,288,2
3308604,543,42
3312946,879,41
3317288,55,25
3321630,373,49
3325972,614,3
3330314,922,13
3334656,74,28
3338998,322,8
3343340,492,2
3347682,893,1
3352024,8,13
3356366,62,28
3360708,334,25
3365050,658,21
3369392,772,33
3373734,171,1
3378076,480,18
3382418,631,42
3386760,747,1
3391102,906,51
3395444,11,13
3399786,49,3
3404128,437,32
3408470,514,14
3412812,591,26
3417154,716,31
3421496,35,18
3425838,560,15
3430180,639,24
3434522,371,50
3438864,507,2
3443206,260,33
3447548,753,13
3451890,801,2
3456232,80,52
3460574,622,12
3464916,327,1
3469258,400,10
3473600,886,2
3477942,199,24
3482284,2,45
3486626,518,15
3490968,66,13
3495310,508,23
3499652,657,13
3503994,884,17
3508336,162,30
3512678,344,46
3517020,689,36
3521362,869,34
3525704,428,21
3530046,525,40
3534388,553,43
3538730,503,38
3543072,605,13
3547414,711,21
3551756,821,7
3556098,875,32
3560440,360,49
3564782,495,14
3569124,986,13
3573466,329,38
3577808,645,22
3582150,76,23
3586492,102,9
3590834,175,38
3595176,426,40
3599518,565,23
3603860,506,24
3608202,684,41
3612544,729,25
3616886,745,14
3621228,827,22
3625570,892,12
3629912,4,37
3634254,163,23
3638596,230,33
3642938,549,21
3647280,727,53
3651622,308,40
3655964,810,46
3660306,842,33
3664648,118,10
3668990,805,33
3673332,13,25
3677674,568,1
3682016,687,26
3686358,916,15
3690700,305,3
3695042,652,2
3699384,36,21
3703726,75,10
3708068,984,23
3712410,314,25
3716752,408,41
3721094,973,24
3725436,780,25
3729778,904,29
3734120,18,41
3738462,140,21
3742804,410,3
3747146,533,19
3751488,289,10
3755830,670,2
3760172,69,18
3764514,475,3
3768856,913,33
3773198,14,12
3777540,374,13
3781882,681,2
3786224,733,34
3790566,935,12
3794908,286,48
3799250,840,24
3803592,864,18
3807934,782,22
3812276,137,29
3816618,173,7
3820960,194,1
3825302,601,30
3829644,692,21
3833986,135,35
3838328,547,22
3842670,881,8
3847012,701,29
3851354,122,26
3855696,620,33
3860038,651,15
3864380,759,10
3868722,310,42
3873064,313,29
3877406,393,12
3881748,493,16
3886090,627,43
3890432,868,41
3894774,15,46
3899116,223,22
3903458,180,27
3907800,648,24
3912142,82,10
3916484,472,13
3920826,523,10
3925168,609,44
3929510,695,13
3933852,97,23
3938194,663,1
3942536,723,53
3946878,980,10
3951220,30,33
3955562,151,36
3959904,401,12
3964246,582,39
3968588,159,42
3972930,256,41
3977272,425,1
3981614,445,45
3985956,643,42
3990298,685,8
3994640,771,12
3998982,597,43
4003324,674,21
4007666,764,12
4012008,23,7
4016350,117,24
4020692,783,43
4025034,121,25
4029376,824,46
4033718,46,38
4038060,284,51
4042402,494,43
4046744,987,46
4051086,20,13
4055428,70,51
4059770,479,29
4064112,848,28
4068454,99,33
4072796,799,41
4077138,231,22
4081480,885,12
4085822,86,42
4090164,640,13
4094506,476,19
4098848,660,45
4103190,802,22
4107532,918,14
4111874,832,10
4116216,862,6
4120558,60,37
4124900,189,12
4129242,311,13
4133584,534,13
4137926,578,33
4142268,798,25
4146610,93,43
4150952,566,5
4155294,569,44
4159636,633,52
4163978,888,1
4168320,969,40
4172662,204,28
4177004,259,29
4181346,366,21
4185688,707,31
4190030,285,37
4194372,647,28
4198714,787,33
4203056,887,1
4207398,183,4
4211740,527,49
4216082,571,41
4220424,725,7
4224766,263,22
4229108,396,33
4233450,336,41
4237792,91,43
4242134,152,38
4246476,267,50
4250818,317,33
4255160,357,36
4259502,584,10
4263844,667,10
4268186,788,19
4272528,835,1
4276870,261,45
4281212,808,3
4285554,47,41
4289896,53,10
4294238,148,10
4298580,394,10
4302922,484,12
4307264,572,43
4311606,972,13
4315948,786,1
4320290,340,38
4324632,456,10
4328974,211,13
4333316,469,37
4337658,526,53
